ts,pid,name,role,wsMB
13:30:45,18028,codex-vm.exe,guest,3
13:30:45,11596,codex-vm.exe,guest,3
13:30:51,16552,codex-vm.exe,guest,10
13:30:58,15444,codex-vm.exe,supervisor,6
13:30:58,4340,codex-vm.exe,guest,7
13:31:16,2612,codex-vm.exe,guest,426
13:31:16,16372,codex-vm.exe,guest,371
13:31:16,6528,codex-vm.exe,guest,371
13:31:16,14672,codex-vm.exe,guest,404
13:31:22,2612,codex-vm.exe,guest,631
13:31:22,16372,codex-vm.exe,guest,744
13:31:22,6528,codex-vm.exe,guest,689
13:31:22,14672,codex-vm.exe,guest,706
13:31:28,2612,codex-vm.exe,guest,785
13:31:28,16372,codex-vm.exe,guest,898
13:31:28,6528,codex-vm.exe,guest,870
13:31:28,14672,codex-vm.exe,guest,896
13:31:35,2612,codex-vm.exe,guest,786
13:31:35,16372,codex-vm.exe,guest,935
13:31:35,6528,codex-vm.exe,guest,873
13:31:35,14672,codex-vm.exe,guest,897
13:31:41,2612,codex-vm.exe,guest,788
13:31:41,16372,codex-vm.exe,guest,937
13:31:41,6528,codex-vm.exe,guest,874
13:31:41,14672,codex-vm.exe,guest,898
13:31:47,2612,codex-vm.exe,guest,800
13:31:47,16372,codex-vm.exe,guest,937
13:31:47,6528,codex-vm.exe,guest,874
13:31:47,14672,codex-vm.exe,guest,898
13:31:53,2612,codex-vm.exe,guest,800
13:31:53,16372,codex-vm.exe,guest,938
13:31:53,6528,codex-vm.exe,guest,875
13:31:53,14672,codex-vm.exe,guest,898
13:31:59,2612,codex-vm.exe,guest,801
13:31:59,16372,codex-vm.exe,guest,940
13:31:59,6528,codex-vm.exe,guest,876
13:31:59,14672,codex-vm.exe,guest,899
13:32:05,2612,codex-vm.exe,guest,801
13:32:05,16372,codex-vm.exe,guest,941
13:32:05,6528,codex-vm.exe,guest,877
13:32:05,14672,codex-vm.exe,guest,899
13:32:11,2612,codex-vm.exe,guest,802
13:32:11,16372,codex-vm.exe,guest,942
13:32:11,6528,codex-vm.exe,guest,967
13:32:11,14672,codex-vm.exe,guest,925
13:32:17,2612,codex-vm.exe,guest,863
13:32:17,16372,codex-vm.exe,guest,944
13:32:17,6528,codex-vm.exe,guest,968
13:32:17,14672,codex-vm.exe,guest,929
13:32:24,2612,codex-vm.exe,guest,950
13:32:24,16372,codex-vm.exe,guest,944
13:32:24,6528,codex-vm.exe,guest,974
13:32:24,14672,codex-vm.exe,guest,930
13:32:30,2612,codex-vm.exe,guest,1042
13:32:30,16372,codex-vm.exe,guest,993
13:32:30,6528,codex-vm.exe,guest,978
13:32:30,14672,codex-vm.exe,guest,931
13:32:36,2612,codex-vm.exe,guest,1053
13:32:36,16372,codex-vm.exe,guest,998
13:32:36,6528,codex-vm.exe,guest,986
13:32:36,14672,codex-vm.exe,guest,936
13:32:42,2612,codex-vm.exe,guest,1058
13:32:42,16372,codex-vm.exe,guest,1004
13:32:42,6528,codex-vm.exe,guest,987
13:32:42,14672,codex-vm.exe,guest,942
13:32:48,2612,codex-vm.exe,guest,1064
13:32:48,16372,codex-vm.exe,guest,1006
13:32:48,6528,codex-vm.exe,guest,989
13:32:48,14672,codex-vm.exe,guest,947
13:32:55,2612,codex-vm.exe,guest,1066
13:32:55,16372,codex-vm.exe,guest,1010
13:32:55,6528,codex-vm.exe,guest,995
13:32:55,14672,codex-vm.exe,guest,949
13:33:01,2612,codex-vm.exe,guest,1067
13:33:01,16372,codex-vm.exe,guest,1014
13:33:01,6528,codex-vm.exe,guest,999
13:33:01,14672,codex-vm.exe,guest,952
13:33:07,2612,codex-vm.exe,guest,1070
13:33:07,16372,codex-vm.exe,guest,1017
13:33:07,6528,codex-vm.exe,guest,1001
13:33:07,14672,codex-vm.exe,guest,954
13:33:13,2612,codex-vm.exe,guest,1073
13:33:13,16372,codex-vm.exe,guest,1021
13:33:13,6528,codex-vm.exe,guest,1005
13:33:13,14672,codex-vm.exe,guest,958
13:33:19,2612,codex-vm.exe,guest,1077
13:33:19,16372,codex-vm.exe,guest,1043
13:33:19,6528,codex-vm.exe,guest,1025
13:33:19,14672,codex-vm.exe,guest,962
13:33:26,2612,codex-vm.exe,guest,1085
13:33:26,16372,codex-vm.exe,guest,1055
13:33:26,6528,codex-vm.exe,guest,1029
13:33:26,14672,codex-vm.exe,guest,981
13:33:32,2612,codex-vm.exe,guest,1089
13:33:32,16372,codex-vm.exe,guest,1060
13:33:32,6528,codex-vm.exe,guest,1033
13:33:32,14672,codex-vm.exe,guest,1060
13:33:38,2612,codex-vm.exe,guest,1092
13:33:38,14672,codex-vm.exe,guest,1064
13:33:50,3572,codex-vm.exe,guest,137
13:33:56,13984,codex-vm.exe,guest,67
13:33:56,1384,codex-vm.exe,guest,30
13:33:56,13256,codex-vm.exe,guest,14
13:33:56,7356,codex-vm.exe,guest,10
13:33:56,12624,codex-vm.exe,guest,11
13:33:56,7832,codex-vm.exe,guest,10
13:33:56,18548,codex-vm.exe,guest,11
13:34:03,16844,codex-vm.exe,guest,408
13:34:03,11432,codex-vm.exe,guest,276
13:34:09,9512,codex-vm.exe,guest,341
13:34:09,18788,codex-vm.exe,guest,81
13:34:09,18680,codex-vm.exe,guest,54
13:34:09,3716,codex-vm.exe,guest,10
13:34:15,7560,codex-vm.exe,guest,241
13:34:15,16020,codex-vm.exe,guest,182
13:34:15,5508,codex-vm.exe,guest,171
13:34:15,15940,codex-vm.exe,guest,145
13:34:15,12260,codex-vm.exe,guest,28
13:34:15,9596,codex-vm.exe,guest,10
13:34:22,8680,codex-vm.exe,guest,489
13:34:22,16152,codex-vm.exe,guest,408
13:34:22,18412,codex-vm.exe,guest,389
13:34:22,14096,codex-vm.exe,guest,30
13:34:28,7124,codex-vm.exe,guest,7
13:34:28,2228,codex-vm.exe,guest,408
13:34:28,6856,codex-vm.exe,guest,407
13:34:28,10468,codex-vm.exe,guest,400
13:34:28,15328,codex-vm.exe,guest,400
13:34:28,14176,codex-vm.exe,guest,400
13:34:28,18680,codex-vm.exe,guest,391
13:34:28,5488,codex-vm.exe,guest,338
13:34:34,9796,codex-vm.exe,guest,407
13:34:34,13880,codex-vm.exe,guest,400
13:34:34,5968,codex-vm.exe,guest,347
13:34:34,15280,codex-vm.exe,guest,406
13:34:34,2384,codex-vm.exe,guest,378
13:34:34,13120,codex-vm.exe,guest,344
13:34:34,2716,codex-vm.exe,guest,308
13:34:34,18248,codex-vm.exe,guest,168
13:34:40,8580,codex-vm.exe,guest,307
13:34:40,18824,codex-vm.exe,guest,276
13:34:40,10680,codex-vm.exe,guest,276
13:34:40,4836,codex-vm.exe,guest,276
13:34:40,548,codex-vm.exe,guest,276
13:34:40,3268,codex-vm.exe,guest,235
13:34:40,19196,codex-vm.exe,guest,156
13:34:47,18852,codex-vm.exe,guest,407
13:34:47,13468,codex-vm.exe,guest,152
13:34:47,10960,codex-vm.exe,guest,108
13:34:47,12384,codex-vm.exe,guest,14
13:34:53,8236,codex-vm.exe,guest,400
13:34:53,6524,codex-vm.exe,guest,409
13:34:53,508,codex-vm.exe,guest,429
13:34:53,18300,codex-vm.exe,guest,347
